Name,ID,Subname,Description,Link,Image
Cursed Eye,316,Cursed charge shot,Grants charged tears that can be fired in a tight burst of four. Getting hit while charging will teleport Isaac into another room.,https://bindingofisaacrebirth.gamepedia.com/Cursed_Eye,../assets/images/316.png
Mysterious Liquid,317,Toxic Splash Damage,"Tears leave a small, short lasting pool of creep on impact or when their range is depleted.",https://bindingofisaacrebirth.gamepedia.com/Mysterious_Liquid,../assets/images/317.png
Gemini,318,Conjoined friend,"Suture becomes attached to Isaac, and does touch damage to enemies within its attacking range.",https://bindingofisaacrebirth.gamepedia.com/Gemini_(Item),../assets/images/318.png
Cain's Other Eye,319,Near sighted friend,Spawns a familiar that floats slowly around the room on a zig-zag pattern similar to The Peeper and shoots normal tears in the same direction as Isaac.,https://bindingofisaacrebirth.gamepedia.com/Cain%27s_Other_Eye,../assets/images/319.png
???'s Only Friend,320,Controlled friend,Summons a big attack fly that can be controlled with the shooting direction-keys.,https://bindingofisaacrebirth.gamepedia.com/%3F%3F%3F%27s_Only_Friend,../assets/images/320.png
Samson's Chains,321,The ol' ball and chain,Pull a chain and ball behind you that will damage enemies on contact and is able to break stones.,https://bindingofisaacrebirth.gamepedia.com/Samson%27s_Chains,../assets/images/321.png
Mongo Baby,322,Mongo Friend,Summons a familiar that copies the tears of Isaac's other familiars.,https://bindingofisaacrebirth.gamepedia.com/Mongo_Baby,../assets/images/322.png
Isaac's Tears,323,Collected tears,"Shoots 8 tears around Isaac, which retain the damage, shot speed, and special effects of his tears. Each tear shot by Isaac increases item charge by one.",https://bindingofisaacrebirth.gamepedia.com/Isaac%27s_Tears,../assets/images/323.png
Undefined,324,Undefined,"Teleports Isaac to either the Secret Room, Super Secret Room, Treasure Room, or I AM ERROR.",https://bindingofisaacrebirth.gamepedia.com/Undefined,../assets/images/324.png
Scissors,325,Lose your head,"Upon use, turns Isaac's head into a stationary familiar for the current room which fires normal tears that deal 3.5 damage.",https://bindingofisaacrebirth.gamepedia.com/Scissors,../assets/images/325.png
Breath of Life,326,Invincibility at a cost,"Grants a brief moment of invincibility when the charge bar hits zero. If the spacebar is held for an additional second after hitting zero, Isaac will take damage.",https://bindingofisaacrebirth.gamepedia.com/Breath_of_Life,../assets/images/326.png
The Polaroid,327,Fate Chosen,"If the character has half a red heart or no red hearts after taking damage, it triggers the Book of Shadows effect, creating a shield that nullifies all types of damage for 5 seconds. Also allows entrance into The Chest.",https://bindingofisaacrebirth.gamepedia.com/The_Polaroid,../assets/images/327.png
The Negative,328,Fate Chosen,"If the character has half a red heart or no red hearts after taking damage, it triggers The Necronomicon effect, damaging all enemies in the room. Also allows entrance into the Dark Room.",https://bindingofisaacrebirth.gamepedia.com/The_Negative,../assets/images/328.png
The Ludovico Technique,329,Controlled Tears,"Instead of firing tears, Isaac controls one floating tear that hover over obstacles. This tear deals constant damage when held in place over an enemy.",https://bindingofisaacrebirth.gamepedia.com/The_Ludovico_Technique,../assets/images/329.png
Soy Milk,330,DMG Down + Tears Way Up,"Tears shrink and do much less damage, but fire in very rapid succession.",https://bindingofisaacrebirth.gamepedia.com/Soy_Milk,../assets/images/330.png
Godhead,331,God tears,Increases damage and range while reducing tears and shot speed. Grants homing tears and tears gain a damaging halo.,https://bindingofisaacrebirth.gamepedia.com/Godhead,../assets/images/331.png
Lazarus' Rags,332,Eternal Life?,"Upon dying, resurrect as Revived Lazarus with one heart container and Anemic item.",https://bindingofisaacrebirth.gamepedia.com/Lazarus%27_Rags,../assets/images/332.png
The Mind,333,I know all,"Grants the combined effects of the Blue Map, Treasure Map, and The Compass, revealing the floor layout and all special rooms, including Secret Rooms and Super Secret Rooms.",https://bindingofisaacrebirth.gamepedia.com/The_Mind,../assets/images/333.png
The Body,334,I feel all,Adds 3 heart containers.,https://bindingofisaacrebirth.gamepedia.com/The_Body,../assets/images/334.png
The Soul,335,I am all,Grants two soul hearts. Isaac now repels enemy projectiles.,https://bindingofisaacrebirth.gamepedia.com/The_Soul,../assets/images/335.png
Dead Onion,336,Toxic aura tears,Grants piercing and spectral tears. Increases tear size (without increasing damage) while greatly reducing range and shot speed.,https://bindingofisaacrebirth.gamepedia.com/Dead_Onion,../assets/images/336.png
Broken Watch,337,I think it's broken,Chance upon entering a room to slow down or speed up every enemy and their attacks. The chance to slow enemies is quite higher than the chance to speed them up.,https://bindingofisaacrebirth.gamepedia.com/Broken_Watch,../assets/images/337.png
The Boomerang,338,It will never leave you,Throws a short-range boomerang which does a bit of damage and has a high chance to stun the enemy for 2 seconds. Can also be used to grab pickups.,https://bindingofisaacrebirth.gamepedia.com/The_Boomerang,../assets/images/338.png
Safety Pin,339,Evil + range + shot speed up,"Increases range and shot speed, while adding 1 Black Heart.",https://bindingofisaacrebirth.gamepedia.com/Safety_Pin,../assets/images/339.png
Caffeine Pill,340,Speed up + size down,Increases speed and reduces character size. Also gives a random pill.,https://bindingofisaacrebirth.gamepedia.com/Caffeine_Pill,../assets/images/340.png
Torn Photo,341,Tears + shot speed up,Tears + Shot speed up.,https://bindingofisaacrebirth.gamepedia.com/Torn_Photo,../assets/images/341.png
Blue Cap,342,HP + tears up + shot speed down,"Grants 1 heart container and increases tears, but decreases shot speed.",https://bindingofisaacrebirth.gamepedia.com/Blue_Cap,../assets/images/342.png
Latch Key,343,Luck up,"Increases Luck by 1, grants 1 Soul Heart and spawns 2 Keys.",https://bindingofisaacrebirth.gamepedia.com/Latch_Key,../assets/images/343.png
Match Book,344,Evil up,Grants Isaac 1 Black Heart and 3 bombs. Can also give troll bombs.,https://bindingofisaacrebirth.gamepedia.com/Match_Book,../assets/images/344.png
Synthoil,345,DMG up + range,"Increases damage by 1, range by 5.25, and tear height by 0.5.",https://bindingofisaacrebirth.gamepedia.com/Synthoil,../assets/images/345.png
A Snack,346,HP up,Grants one full red heart container.,https://bindingofisaacrebirth.gamepedia.com/A_Snack,../assets/images/346.png
Diplopia,347,Double item vision,Duplicates all pickups and item pedestals in the room.,https://bindingofisaacrebirth.gamepedia.com/Diplopia,../assets/images/347.png
Placebo,348,Pill mimic,"When used, copies the effect of the pill Isaac is currently holding without consuming it. Does not copy the effects of cards or runes.",https://bindingofisaacrebirth.gamepedia.com/Placebo,../assets/images/348.png
Wooden Nickel,349,Flip a coin,"When used, has a 50% chance to drop one random type of coin (penny, nickel, or dime).",https://bindingofisaacrebirth.gamepedia.com/Wooden_Nickel,../assets/images/349.png
Toxic Shock,350,Mass poison,"Upon entering a room, poisons all enemies, dealing double Isaac's tear damage. Killing enemies leaves a small, short lasting pool of green creep on the ground.",https://bindingofisaacrebirth.gamepedia.com/Toxic_Shock,../assets/images/350.png
Mega Bean,351,Giga fart!,"When used, the Mega Bean will freeze all enemies in the current room for a couple of seconds, deal 5 damage and poison any enemies near Isaac, and send a wave of spikes that deals 10 damage across the room in the direction Isaac is facing.",https://bindingofisaacrebirth.gamepedia.com/Mega_Bean,../assets/images/351.png
Glass Cannon,352,Be gentle...,Reduces Isaac's health to half a heart (including soul and black hearts) and fires one large piercing spectral tear that does a lot of damage when used. The damage done by Glass Cannon scales with Isaac's damage (at base damage it does 45 damage).,https://bindingofisaacrebirth.gamepedia.com/Glass_Cannon,../assets/images/352.png
Bomber Boy,353,Explosive blast!,+5 bombs. Isaac's bombs will now explode in a large cross-shaped pattern (roughly 5 bombs explosions wide). This also affects player-spawned troll bombs.,https://bindingofisaacrebirth.gamepedia.com/Bomber_Boy,../assets/images/353.png
Crack Jacks,354,Don't swallow the prize!,Adds one heart container and drops a random trinket.,https://bindingofisaacrebirth.gamepedia.com/Crack_Jacks,../assets/images/354.png
Mom's Pearls,355,Range + luck up,+1.25 Range Up. +0.5 Tear Height. +1 Luck Up.,https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Pearls,../assets/images/355.png
Car Battery,356,Double charge!,Causes Isaac's activated item to activate twice on each use.,https://bindingofisaacrebirth.gamepedia.com/Car_Battery,../assets/images/356.png
Box of Friends,357,Double your friends,"Upon use, duplicates all of Isaac's familiars for the current room.",https://bindingofisaacrebirth.gamepedia.com/Box_of_Friends,../assets/images/357.png
The Wiz,358,Double wiz shot!,"Tears simultaneously fire out of both eyes diagonally, similar to the effect of the R U A Wizard? pill. Isaac's tears also travel above all obstacles.",https://bindingofisaacrebirth.gamepedia.com/The_Wiz,../assets/images/358.png
8 Inch Nails,359,Stick it to 'em!,"+1.5 Damage Up. Replaces Isaac's tears with nails, which have increased knockback.",https://bindingofisaacrebirth.gamepedia.com/8_Inch_Nails,../assets/images/359.png
Incubus,360,Dark friend,"A demonic familiar that follows Isaac and shoots tears identical to Isaac's in terms of damage, range, fire rate, and effects.",https://bindingofisaacrebirth.gamepedia.com/Incubus,../assets/images/360.png
Fate's Reward,361,Your fate beside you,A blue head familiar that will follow Isaac and fire tears copying his tear effects and damage.,https://bindingofisaacrebirth.gamepedia.com/Fate%27s_Reward,../assets/images/361.png
Lil Chest,362,What's in the box?,Spawns a chest familiar that follows Isaac and drops a random pickup every few rooms.,https://bindingofisaacrebirth.gamepedia.com/Lil_Chest,../assets/images/362.png
Sworn Protector,363,Protective friend,An orbital angel which does 7 contact damage per tick and blocks enemy shots. Upon blocking 10 shots in a room it drops an eternal heart.,https://bindingofisaacrebirth.gamepedia.com/Sworn_Protector,../assets/images/363.png
Friend Zone,364,Friendly fly,A white orbiting fly which deals 3 contact damage per tick to enemies. This familiar orbits Isaac at a middle length distance somewhere between Distant Admiration and Forever Alone.,https://bindingofisaacrebirth.gamepedia.com/Friend_Zone,../assets/images/364.png
Lost Fly,365,Lost protector,"A familiar fly that moves in a straight line and attaches itself to the first obstacle or wall it comes into contact with in each room. If any enemies walk into its path, it will deal 7 contact damage per tick. If the obstacle it is attached to is destroyed then it will continue rolling in the direction it was previously travelling until it meets another wall or obstacle.",https://bindingofisaacrebirth.gamepedia.com/Lost_Fly,../assets/images/365.png
Scatter Bombs,366,We put bombs in your bombs!,Adds 5 bombs. Isaac's bombs explode into 2-4 tiny bombs.,https://bindingofisaacrebirth.gamepedia.com/Scatter_Bombs,../assets/images/366.png
Sticky Bombs,367,Egg sack bombs!,+5 bombs. Bombs stick to enemies and spawn 2-4 blue spiders if they kill an enemy.,https://bindingofisaacrebirth.gamepedia.com/Sticky_Bombs,../assets/images/367.png
Epiphora,368,Intensifying tears,"Shooting in one direction increases Isaac's rate of fire until the cap is reached. As soon as Isaac changes direction or stops shooting, rate of fire is reset to its normal amount.",https://bindingofisaacrebirth.gamepedia.com/Epiphora,../assets/images/368.png
Continuum,369,Transcendent tears,+2.25 Range Up. +1.5 Tear Height. Isaac's tears travel through walls and appear out of the opposite wall. Isaac's tears also travel over rocks and objects.,https://bindingofisaacrebirth.gamepedia.com/Continuum,../assets/images/369.png
Mr. Dolly,370,Range + tears up,Tears and Range up. Spawns 3 random types of hearts on the floor when picked up.,https://bindingofisaacrebirth.gamepedia.com/Mr._Dolly,../assets/images/370.png
Curse of the Tower,371,You feel cursed...,"Causes Isaac to spawn 6 troll bombs on the floor every time he gets hit, similar to the Anarchist Cookbook mechanic.",https://bindingofisaacrebirth.gamepedia.com/Curse_of_the_Tower,../assets/images/371.png
Charged Baby,372,Bbbzzzzzt!,A familiar that may drop a Little Battery. Has a small chance to freeze all enemies in the room.,https://bindingofisaacrebirth.gamepedia.com/Charged_Baby,../assets/images/372.png
Dead Eye,373,Accuracy brings power!,Isaac's damage increases each time an enemy is hit. Damage is reset upon missing a shot.,https://bindingofisaacrebirth.gamepedia.com/Dead_Eye,../assets/images/373.png
Holy Light,374,Holy shot!,"Isaac has a random chance to fire a Holy tear, which, when it hits an enemy, will spawn a Crack the Sky-style light beam on the same enemy, dealing damage.",https://bindingofisaacrebirth.gamepedia.com/Holy_Light,../assets/images/374.png
Host Hat,375,Nice hat!,A host familiar that sits on Isaac's head and has a random chance to block enemy shots and retaliate with 3 tears. Grants immunity to explosions.,https://bindingofisaacrebirth.gamepedia.com/Host_Hat,../assets/images/375.png
Restock,376,Never ending stores!,Causes shops to instantly restock their items when they are bought. Granted by default for every character in Greed Mode.,https://bindingofisaacrebirth.gamepedia.com/Restock,../assets/images/376.png
Bursting Sack,377,Spider love,Spider enemies no longer target or deal contact damage to Isaac.,https://bindingofisaacrebirth.gamepedia.com/Bursting_Sack,../assets/images/377.png
No. 2,378,Uh oh...,"Continuously firing tears for several seconds causes Isaac to drop a Butt Bomb. Butt Bombs explode for 60 damage like normal bombs, but also deal 10 damage to all enemies in the room and daze them for a short period of time.",https://bindingofisaacrebirth.gamepedia.com/No._2,../assets/images/378.png
Pupula Duplex,379,Wide shot,Transforms Isaac's tears into a wide arc shape which gives them a much larger hitbox. Gives Isaac spectral tears which allows them to travel through objects in the environment (i.e. rocks).,https://bindingofisaacrebirth.gamepedia.com/Pupula_Duplex,../assets/images/379.png
Pay to Play,380,Money talks,"This item turns all doors that require a single key into doors which need a coin to enter instead. This affects shops, item rooms and libraries.",https://bindingofisaacrebirth.gamepedia.com/Pay_to_Play,../assets/images/380.png
Eden's Blessing,381,Your future shines brighter,+0.7 tears up. Grants a random item at the start of the next run.,https://bindingofisaacrebirth.gamepedia.com/Eden%27s_Blessing,../assets/images/381.png
Friendly Ball,382,Gotta fetch 'em all!,"Throwing the ball at an enemy instantly kills it and captures it. The captured enemy can later be released and will be friendly, fighting for Isaac and persisting between rooms.",https://bindingofisaacrebirth.gamepedia.com/Friendly_Ball,../assets/images/382.png
Tear Detonator,383,Remote tear detonation!,"When used, will detonate any tears currently on the screen and cause each one to split into 6 more tears which will fire in a circle, similar to Tammy's Head.",https://bindingofisaacrebirth.gamepedia.com/Tear_Detonator,../assets/images/383.png
Lil Gurdy,384,A gurd of your own!,"Gives Isaac a Gurdy familiar that will charge around the room dealing contact damage to enemies. Lil Gurdy is charged by holding down a fire button and letting go. The longer the button is held, the faster Lil Gurdy will fling itself across the screen. Lil Gurdy can pass over objects and obstacles in the room.",https://bindingofisaacrebirth.gamepedia.com/Lil_Gurdy,../assets/images/384.png
Bumbo,385,Bumbo want coin!,"Spawns a beggar familiar which floats around the room and picks up any nearby coins, leveling up after collecting several coins. At level 2, Bumbo gains a body. At level 3, it begins to fire tears. At level 4, Bumbo chases enemies slowly, dealing contact damage.",https://bindingofisaacrebirth.gamepedia.com/Bumbo,../assets/images/385.png
D12,386,Rerolls rocks,"Re-rolls all rocks in the current room into other random objects, such as bomb rocks, metal blocks, TNT, or poops.",https://bindingofisaacrebirth.gamepedia.com/D12,../assets/images/386.png
Censer,387,Peace be with you,Gives Isaac a golden censer familiar which creates a huge aura of light that slows down any enemies and enemy shots inside it.,https://bindingofisaacrebirth.gamepedia.com/Censer,../assets/images/387.png
Key Bum,388,He wants your keys!,"Spawns a portable key master that follows Isaac and collects keys, giving random chests in return.",https://bindingofisaacrebirth.gamepedia.com/Key_Bum,../assets/images/388.png
Rune Bag,389,Rune generator,A bag that follows Isaac and drops a random rune every 5-6 rooms.,https://bindingofisaacrebirth.gamepedia.com/Rune_Bag,../assets/images/389.png
Seraphim,390,Sworn friend,An angel familiar which follows Isaac and fires homing tears which deal 10 damage at -25% shot speed and a reduced fire rate.,https://bindingofisaacrebirth.gamepedia.com/Seraphim,../assets/images/390.png
Betrayal,391,Turn your enemy,"Every time Isaac takes damage, a charm effect is applied to every enemy in the room, causing them to attack each other rather than Isaac.",https://bindingofisaacrebirth.gamepedia.com/Betrayal,../assets/images/391.png
Zodiac,392,The heavens will change you,Zodiac will give Isaac a random zodiac item effect that changes after every floor.,https://bindingofisaacrebirth.gamepedia.com/Zodiac,../assets/images/392.png
Serpent's Kiss,393,The kiss of death,"Tears now have a random chance to apply a poison effect, causing 4 or 6 damage per tick to enemies (Similar to The Common Cold item). Isaac now deals poison damage on contact with enemies similar to The Virus item (Damage over time 4 or 6 per tick). Enemies that were poisoned have a chance to drop a black heart when killed.",https://bindingofisaacrebirth.gamepedia.com/Serpent%27s_Kiss,../assets/images/393.png
Marked,394,Directed tears,Isaac will now fire tears automatically directed at a red target on the ground which is controlled by the player. This allows for a full 360 degree tear firing radius. Can be overridden by other tear modifiers such as Mom's Knife or Brimstone.,https://bindingofisaacrebirth.gamepedia.com/Marked,../assets/images/394.png
Tech X,395,Laser ring tears,Tears are replaced with laser rings that pierce through enemies and deal damage to enemies within them. Can be charged to increase the size of the ring.,https://bindingofisaacrebirth.gamepedia.com/Tech_X,../assets/images/395.png
Ventricle Razor,396,Short cutter,"Can be used to place an orange portal and a blue portal. Upon entering a portal, Isaac is teleported to the other portal.",https://bindingofisaacrebirth.gamepedia.com/Ventricle_Razor,../assets/images/396.png
Tractor Beam,397,Control your tears,Isaac emits a beam from his face. Isaac's tears travel in the path of the beam.,https://bindingofisaacrebirth.gamepedia.com/Tractor_Beam,../assets/images/397.png
God's Flesh,398,Shrink shot,"Tears now have a random chance to apply a shrinking effect, causing enemies to shrink in size and also run away from Isaac. Shrunk enemies can be crushed and killed by walking over them.",https://bindingofisaacrebirth.gamepedia.com/God%27s_Flesh,../assets/images/398.png
Maw of the Void,399,Consume thy enemy!,"+1.0 Damage Up. After continuously firing tears for 2.5 seconds, a red cross appears on Isaac's head that, upon releasing the fire button, creates a black ring that rapidly deals damage equal to Isaac's tear damage to any enemies in contact with it.",https://bindingofisaacrebirth.gamepedia.com/Maw_of_the_Void,../assets/images/399.png
Spear of Destiny,400,Your destiny,"In addition to tears, Isaac now holds a spear in front of him which deals damage equal to 2 times his tear damage, and occasionally inflicts fear. The spear cannot be thrown, but deals damage while it is in contact with an enemy.",https://bindingofisaacrebirth.gamepedia.com/Spear_of_Destiny,../assets/images/400.png
Explosivo,401,Sticky bomb shot!,Isaac's tears have a chance to stick to enemies and explode.,https://bindingofisaacrebirth.gamepedia.com/Explosivo,../assets/images/401.png
Chaos,402,!!!,"Chaos causes items to be chosen from random item pools. When picked up, drops between 1-6 random pickups on the floor.",https://bindingofisaacrebirth.gamepedia.com/Chaos,../assets/images/402.png
Spider Mod,403,Mod buddy!,Displays Isaac's tear damage and enemy health bars. Spawns a gray spider familiar that wanders around and inflicts a random status effect on any enemies it comes into contact with. Occasionally spawns a blue spider upon clearing a room.,https://bindingofisaacrebirth.gamepedia.com/Spider_Mod,../assets/images/403.png
Farting Baby,404,It farts!,"A familiar that follows Isaac and blocks tears. If a tear hits Farting Baby, there is a high chance for it to fart, which will either knock back, poison, or charm all nearby enemies.",https://bindingofisaacrebirth.gamepedia.com/Farting_Baby,../assets/images/404.png
GB Bug,405,"Game breaking bug, right away!",A glitch familiar that bounces around the room and applies a random status effect to any enemies it comes into contact with and has a chance to re-roll pickups that it passes over.,https://bindingofisaacrebirth.gamepedia.com/GB_Bug,../assets/images/405.png
D8,406,Reroll stats,"Re-rolls Isaac's speed, range, tears, and damage.",https://bindingofisaacrebirth.gamepedia.com/D8,../assets/images/406.png
Purity,407,Aura stat boost,"This item will boost one of Isaac's stats depending on the color of the aura around him. The aura will disappear upon taking damage and will reappear with a random color upon entering a new room. A red aura boosts damage, a blue aura boosts rate of fire, a yellow aura boosts speed, and an orange aura boosts range.",https://bindingofisaacrebirth.gamepedia.com/Purity,../assets/images/407.png
Athame,408,Call to the void,"Whenever Isaac takes damage, a black ring briefly appears around Isaac, dealing damage to all nearby enemies.",https://bindingofisaacrebirth.gamepedia.com/Athame,../assets/images/408.png
Empty Vessel,409,I reward an empty vessel,"While Isaac has no red hearts, this item grants flight and a random chance to activate an invincibility shield for a few seconds. If Isaac gains any red hearts, these benefits will disappear.",https://bindingofisaacrebirth.gamepedia.com/Empty_Vessel,../assets/images/409.png
Evil Eye,410,Eye shot!,"While firing tears, Isaac has a chance to fire an eye across the screen with a very slow shot speed, which will fire tears of its own in the same direction as Isaac. The eye will be destroyed if it comes into contact with an enemy or obstacle.",https://bindingofisaacrebirth.gamepedia.com/Evil_Eye,../assets/images/410.png
Lusty Blood,411,Their blood brings rage!,"Each time Isaac kills an enemy, Isaac's damage increases for the current room.",https://bindingofisaacrebirth.gamepedia.com/Lusty_Blood,../assets/images/411.png
Cambion Conception,412,Feed them hate,"After taking damage a certain amount of times, a permanent demonic familiar spawns.",https://bindingofisaacrebirth.gamepedia.com/Cambion_Conception,../assets/images/412.png
Immaculate Conception,413,Feed them love,"Upon picking up a certain amount of health, spawn a permanent angelic familiar.",https://bindingofisaacrebirth.gamepedia.com/Immaculate_Conception,../assets/images/413.png
More Options,414,There are even more options!,Two items spawn in every Treasure Room. Only one can be taken; the other will disappear.,https://bindingofisaacrebirth.gamepedia.com/More_Options,../assets/images/414.png
Crown of Light,415,The untainted gain power,"Gives Isaac a crown that glows blue when active, and turns gray when inactive. While Isaac has no empty red heart containers, Isaac's tears are replaced with blue diamond tears that deal double damage. Regardless of health, the crown will deactivate for the current room when Isaac takes damage.",https://bindingofisaacrebirth.gamepedia.com/Crown_of_Light,../assets/images/415.png
Deep Pockets,416,More stuff to carry!,Allows Isaac to carry two cards or pills (or a combination of both) at the same time.,https://bindingofisaacrebirth.gamepedia.com/Deep_Pockets,../assets/images/416.png
Succubus,417,Damage booster,"Spawns a flying familiar that bounces around the room with a black aura, dealing rapid damage to any enemies inside it. While standing in the aura, Isaac gains a 1.5x tear damage multiplier.",https://bindingofisaacrebirth.gamepedia.com/Succubus,../assets/images/417.png
Fruit Cake,418,Rainbow effects!,Isaac's tears gain a random effect that changes every shot.,https://bindingofisaacrebirth.gamepedia.com/Fruit_Cake,../assets/images/418.png
Teleport 2.0,419,I-Teleport!,"Teleports Isaac to a random room that has not been explored yet when used. If all rooms are explored, including secret rooms, it will teleport Isaac to the Devil or Angel room. If all rooms are explored, including the Devil or Angel room, it will teleport Isaac to the I AM ERROR room. If used in a room with enemies, it will teleport Isaac out and back into the same room.",https://bindingofisaacrebirth.gamepedia.com/Teleport_2.0,../assets/images/419.png
Black Powder,420,Spin the black circle!,"Isaac leaves a trail of black powder on the floor. Walking in a circle will spawn a pentagram symbol on the floor, which deals 10 damage per tick to any enemies inside it.",https://bindingofisaacrebirth.gamepedia.com/Black_Powder,../assets/images/420.png
Kidney Bean,421,Love toots!,"Upon use, Isaac farts, charming all nearby enemies.",https://bindingofisaacrebirth.gamepedia.com/Kidney_Bean,../assets/images/421.png
Glowing Hour Glass,422,Turn back time,"When used, this item will rewind time, put Isaac back in the previous room, and undo anything that happened in the current room. Any health, pickups, or items gained or lost will be reset back to the previous state.",https://bindingofisaacrebirth.gamepedia.com/Glowing_Hour_Glass,../assets/images/422.png
Circle of Protection,423,Protect me from myself,"Surrounds Isaac with a large white halo. Once per second, the halo deals Isaac's tear damage to enemies inside it. It may also convert enemy shots entering the halo into friendly purple homing tears.",https://bindingofisaacrebirth.gamepedia.com/Circle_of_Protection,../assets/images/423.png
Sack Head,424,More sacks!,Greatly increases the chance to find sacks.,https://bindingofisaacrebirth.gamepedia.com/Sack_Head,../assets/images/424.png
Night Light,425,Scared of the dark?,A cone of light shines in the direction Isaac is moving that slows enemies and enemy shots.,https://bindingofisaacrebirth.gamepedia.com/Night_Light,../assets/images/425.png
Obsessed Fan,426,Follows my every move...,A purple fly familiar that follows Isaac's movements on a 3 second delay and deals contact damage to enemies.,https://bindingofisaacrebirth.gamepedia.com/Obsessed_Fan,../assets/images/426.png
Mine Crafter,427,Booom!,"Places an explosive TNT barrel that can be pushed and used to destroy rocks or damage enemies when used. If used a second time in the same room while the previous TNT barrel is still intact, it will remotely explode the TNT.",https://bindingofisaacrebirth.gamepedia.com/Mine_Crafter,../assets/images/427.png
PJs,428,You feel cozy,Grants four soul hearts and fully restores Isaac's red health.,https://bindingofisaacrebirth.gamepedia.com/PJs,../assets/images/428.png
Head of the Keeper,429,Penny tears!,Isaac's tears become coins and now have a chance to drop pennies on the floor upon successfully hitting an enemy.,https://bindingofisaacrebirth.gamepedia.com/Head_of_the_Keeper,../assets/images/429.png
Papa Fly,430,Turret follower,A blue fly familiar follows Isaac's movements on a 3 second delay. Papa Fly will fire tears at nearby enemies.,https://bindingofisaacrebirth.gamepedia.com/Papa_Fly,../assets/images/430.png
Multidimensional Baby,431,ydduB Buddy,Spawns a familiar that will follow Isaac's movements on a 2.5 second delay. Tears that pass through the baby will be doubled and increase in speed.,https://bindingofisaacrebirth.gamepedia.com/Multidimensional_Baby,../assets/images/431.png
Glitter Bombs,432,Prize bombs!,"Gives Isaac 5 bombs, and makes Isaac's bombs have a chance to drop random pickups or charm enemies when they explode.",https://bindingofisaacrebirth.gamepedia.com/Glitter_Bombs,../assets/images/432.png
My Shadow,433,Me! And my shaaaadow!,"Each time Isaac takes damage, inflicts fear on all enemies in the room and spawns a black friendly Charger that will attack enemies. The Charger will be killed if it is damaged too much.",https://bindingofisaacrebirth.gamepedia.com/My_Shadow,../assets/images/433.png
Jar of Flies,434,Gotta catch 'em all?,"Every time Isaac kills an enemy, a fly will be added to the jar, up to a maximum of 20. Using the Jar of Flies will release all the flies that are currently in the jar as friendly blue flies that will damage enemies.",https://bindingofisaacrebirth.gamepedia.com/Jar_of_Flies,../assets/images/434.png
Lil' Loki,435,4-way buddy!,A Loki familiar that follows Isaac and shoots 4 tears in a cross pattern.,https://bindingofisaacrebirth.gamepedia.com/Lil%27_Loki,../assets/images/435.png
Milk!,436,Don't cry over it...,"A glass of milk follows Isaac and spills on the floor upon taking damage. After the milk spills, Isaac's tear delay is decreased by 2 for the rest of the room.",https://bindingofisaacrebirth.gamepedia.com/Milk!,../assets/images/436.png
D7,437,Reroll rewards!,"Restarts the current room and brings back all enemies, allowing more rewards to be acquired by completing the room.",https://bindingofisaacrebirth.gamepedia.com/D7,../assets/images/437.png
Binky,438,Memories...,"Tears up, adds 1 soul heart, and decreases Isaac's size.",https://bindingofisaacrebirth.gamepedia.com/Binky,../assets/images/438.png
Mom's Box,439,What's inside?,"When used, Mom's Box will drop a random trinket on the ground. While held, increases luck by 1 and doubles the effects of trinkets.",https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Box,../assets/images/439.png
Kidney Stone,440,Matt's kidney stone,"Randomly while firing tears, Isaac will stop firing and turn red, where he will charge and release a lot of 'tears' in one go. In the burst of tears is a kidney stone which deals a lot of damage.",https://bindingofisaacrebirth.gamepedia.com/Kidney_Stone,../assets/images/440.png
Mega Blast,441,Laser breath,"Upon use, Isaac fires a laser similar to the one used by Mega Satan. This laser deals massive damage, lasts for approximately 15 seconds, and persists between rooms. Isaac is pushed backwards by the force of the laser while it is active.",https://bindingofisaacrebirth.gamepedia.com/Mega_Blast,../assets/images/441.png
Dark Prince's Crown,442,Loss is power,"Increases range, tears, and shot speed when at exactly one red heart.",https://bindingofisaacrebirth.gamepedia.com/Dark_Prince%27s_Crown,../assets/images/442.png
Apple!,443,Trick or treat?,Increases tears. Adds a chance to fire a high-damage razor blade.,https://bindingofisaacrebirth.gamepedia.com/Apple!,../assets/images/443.png
Lead Pencil,444,He's a bleeder!,"After every 15 tears fired, Isaac will fire a high-damage cluster of tears.",https://bindingofisaacrebirth.gamepedia.com/Lead_Pencil,../assets/images/444.png
Dog Tooth,445,Bark at the moon!,"Increases damage and speed. Upon entering a room adjacent to a secret room, a howl sound effect will play.",https://bindingofisaacrebirth.gamepedia.com/Dog_Tooth,../assets/images/445.png
Dead Tooth,446,Halitosis,"While firing, Isaac gains a green aura that poisons nearby enemies.",https://bindingofisaacrebirth.gamepedia.com/Dead_Tooth,../assets/images/446.png
Linger Bean,447,Crying makes me toot,Adds a chance to fire a gas cloud that damages nearby enemies.,https://bindingofisaacrebirth.gamepedia.com/Linger_Bean,../assets/images/447.png
Shard of Glass,448,Blood and guts!,"Upon taking damage, Isaac has a chance to drop a full red heart, gain 5 range, and leave a trail of damaging red creep for the current room.",https://bindingofisaacrebirth.gamepedia.com/Shard_of_Glass,../assets/images/448.png
